Starting to train (PyTorch).
Iter 0001080: train nll 1.386, valid error 073.680%, best valid error 074.380%, avg grad norm   0.248, avg grad norm (post clip)   0.248, rho_Whh  0.99, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0001100: train nll 1.385, valid error 070.940%, best valid error 073.680%, avg grad norm   0.229, avg grad norm (post clip)   0.229, rho_Whh  0.99, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.385
Iter 0001120: train nll 1.385, valid error 069.720%, best valid error 070.940%, avg grad norm   0.421, avg grad norm (post clip)   0.410, rho_Whh  1.02, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.380
Iter 0001140: train nll 1.376, valid error 039.420%, best valid error 069.720%, avg grad norm   2.277, avg grad norm (post clip)   0.945, rho_Whh  1.04, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.353
Iter 0001160: train nll 1.361, valid error 036.910%, best valid error 039.420%, avg grad norm   5.698, avg grad norm (post clip)   1.000, rho_Whh  1.04, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.329
Iter 0001180: train nll 1.352, valid error 054.780%, best valid error 036.910%, avg grad norm  10.651, avg grad norm (post clip)   1.000, rho_Whh  1.04, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.335
Iter 0001200: train nll 1.338, valid error 050.030%, best valid error 036.910%, avg grad norm  14.336, avg grad norm (post clip)   1.000, rho_Whh  1.05, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.325
Iter 0001220: train nll 1.316, valid error 053.020%, best valid error 036.910%, avg grad norm  14.785, avg grad norm (post clip)   1.000, rho_Whh  1.05, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.321
Iter 0001240: train nll 1.293, valid error 045.460%, best valid error 036.910%, avg grad norm  12.224, avg grad norm (post clip)   1.000, rho_Whh  1.06, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.285
Iter 0001260: train nll 1.298, valid error 047.520%, best valid error 036.910%, avg grad norm  14.831, avg grad norm (post clip)   1.000, rho_Whh  1.06, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.245
Iter 0001280: train nll 1.263, valid error 050.580%, best valid error 036.910%, avg grad norm  16.458, avg grad norm (post clip)   1.000, rho_Whh  1.06, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.249
